TimeStamp;NodeID;NodeCount;Schema;SF;WorkerCount;Item name;CPU ns;USER ns;BLOCKED#;BLOCKED ns;WAITED#;WAITED ns;SUMM all times;Running %;Running total%;Comment
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#3;119524928;110000000;0;0;12;15000000;134524928;88.85;2.68;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#4;100158006;100000000;0;0;12;12000000;112158006;89.301;2.408;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#5;110547474;110000000;1;0;12;15000000;125547474;88.052;2.554;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#6;108811181;100000000;0;0;15;12000000;120811181;90.067;2.53;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#7;89173085;80000000;0;0;14;19000000;108173085;82.436;2.253;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#8;130147809;130000000;0;0;13;21000000;151147809;86.106;2.829;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#9;99524837;90000000;1;0;11;18000000;117524837;84.684;2.399;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#0;579120409;560000000;2;0;15;52000000;631120409;91.761;9.141;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#1;409516030;400000000;0;0;17;58000000;467516030;87.594;6.756;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#10;495854791;480000000;1;0;15;66000000;561854791;88.253;7.97;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#11;579382812;560000000;3;0;14;60000000;639382812;90.616;9.144;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#12;580633242;570000000;3;0;15;82000000;662633242;87.625;9.162;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#13;479548174;470000000;1;0;17;82000000;561548174;85.398;7.741;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#14;584297143;560000000;3;0;15;61000000;645297143;90.547;9.213;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#15;451934969;440000000;1;0;16;85000000;536934969;84.169;7.353;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#2;509872114;490000000;2;0;16;86000000;595872114;85.567;8.167;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#3;511109813;500000000;3;0;19;84000000;595109813;85.885;8.185;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#4;539773994;520000000;1;0;16;60000000;599773994;89.996;8.587;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#5;583917237;550000000;2;0;17;63000000;646917237;90.262;9.208;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#6;546405630;540000000;1;0;16;62000000;608405630;89.809;8.681;
